V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0.0019164701628931,0.00173208376248951,0.161012499421127,0.0585820211384932,0.403622743947689,0.00203107203825523,0.00281211520989425,0.00410954890661736,0.00208568408395748
0.0019164701628931,0,0.0111055044487116,0.303407463316466,0.161822886595655,0.0662813631977563,0.00395969104101904,0.0226521955361302,0.00287999195423845,0.00624606441461382
0.00173208376248951,0.0111055044487116,0,0.162060007313165,0.0532898254556933,0.0846174518816364,0.00113788468605156,0.00232253240814036,0.00754617500375259,0.0057788451537541
0.161012499421127,0.303407463316466,0.162060007313165,0,0.399907027801523,0.0978420907394715,0.168195510302078,0.185262123168528,0.00529237900907859,0.168420717039262
0.0585820211384932,0.161822886595655,0.0532898254556933,0.399907027801523,0,0.143896428647414,0.220146789730569,0.101117777001509,0.00864310670637204,0.0529812408915255
0.403622743947689,0.0662813631977563,0.0846174518816364,0.0978420907394715,0.143896428647414,0,0.0786329102976036,0.0913504043301865,0.00103320124348166,0.0797172498833723
0.00203107203825523,0.00395969104101904,0.00113788468605156,0.168195510302078,0.220146789730569,0.0786329102976036,0,0.00913709070504411,0.0117984526450076,0.000956842931333178
0.00281211520989425,0.0226521955361302,0.00232253240814036,0.185262123168528,0.101117777001509,0.0913504043301865,0.00913709070504411,0,0.00548086239593699,0.00206836107417414
0.00410954890661736,0.00287999195423845,0.00754617500375259,0.00529237900907859,0.00864310670637204,0.00103320124348166,0.0117984526450076,0.00548086239593699,0,0.0066310325347682
0.00208568408395748,0.00624606441461382,0.0057788451537541,0.168420717039262,0.0529812408915255,0.0797172498833723,0.000956842931333178,0.00206836107417414,0.0066310325347682,0
