V1,V2,V3,V4,V5,V6,V7,V8,V9,V10
0,0.0191721666964647,0.00196500081467738,0.0318163026335085,0.0170424298570843,0.00115723527004364,0.0113211179805869,0.000638756061162218,0.0352911701412596,0.0194343841550424
0.0191721666964647,0,0.0224525612474663,0.00016652365532217,0.0292521611262408,0.0150739086216958,0.070350116031195,0.0192640405180836,0.02435762161331,0.00325119384169612
0.00196500081467738,0.0224525612474663,0,0.0166881760689315,0.0173803325243586,0.00295352035038833,0.0161150472454517,0.00701001002874258,0.0213007376115135,0.0225100989888043
0.0318163026335085,0.00016652365532217,0.0166881760689315,0,0.0126652031563797,0.0291617326671268,0.0157631724269614,0.015778605027882,0.0162951076028625,0.0211809881604004
0.0170424298570843,0.0292521611262408,0.0173803325243586,0.0126652031563797,0,0.00470966254405036,0.0303694208883797,0.0149335530993908,0.00933662390569434,0.0155924646852478
0.00115723527004364,0.0150739086216958,0.00295352035038833,0.0291617326671268,0.00470966254405036,0,0.00412424580933808,0.00298751934583938,0.00815492819537376,0.00769745759145841
0.0113211179805869,0.070350116031195,0.0161150472454517,0.0157631724269614,0.0303694208883797,0.00412424580933808,0,0.00778443471089807,0.00528601513315028,0.00433553502268145
0.000638756061162218,0.0192640405180836,0.00701001002874258,0.015778605027882,0.0149335530993908,0.00298751934583938,0.00778443471089807,0,0.0140682055302102,0.0148742991241262
0.0352911701412596,0.02435762161331,0.0213007376115135,0.0162951076028625,0.00933662390569434,0.00815492819537376,0.00528601513315028,0.0140682055302102,0,0.0106104980987938
0.0194343841550424,0.00325119384169612,0.0225100989888043,0.0211809881604004,0.0155924646852478,0.00769745759145841,0.00433553502268145,0.0148742991241262,0.0106104980987938,0
